shop_id,chain_code,chain_name,shop_name,address,lat,lng,payment_tags,source_url
blue-tag-shop-d6c8e91937,blue-tag,旅行代理店,イナホ舎・古民家まれびと,石川県加賀市山中温泉　今立町イ180,,,blue_tag,https://marebito-cycling.jp/
blue-tag-shop-e011324376,blue-tag,アパレル,インポートセレクトブティックはいからや,岡山県倉敷市鶴形1-2-5,,,blue_tag,https://www.haikaraya.org/
blue-tag-shop-68f25399b2,blue-tag,タクシー,イーグルタクシー有限会社,山口県柳井市柳井4827-2,,,blue_tag,https://www.google.com/maps/d/viewer?mid=1cuUtTOY_H5F84hIkz0_tNmcSV3GsBpk
blue-tag-shop-b792dc7a28,blue-tag,アパレル,ウィッグ専門店リシェール,大阪府大阪市　此花区四貫島2-22-3,,,blue_tag,https://www.google.com/maps/d/viewer?mid=1cuUtTOY_H5F84hIkz0_tNmcSV3GsBpk
blue-tag-shop-be1831818a,blue-tag,専門料理店,エッグスイッチ,大阪府大阪市　大正区三軒家東1-15-2カーサ木津105,,,blue_tag,https://www.instagram.com/eggswitch?igsh=eDJueXpjNzdoZ3Vt
blue-tag-shop-4e05e73830,blue-tag,その他,エヌワイ工業,大阪府岸和田市別所町１丁目１０－２７,,,blue_tag,https://www.google.com/maps/d/viewer?mid=1cuUtTOY_H5F84hIkz0_tNmcSV3GsBpk
blue-tag-shop-21784438f4,blue-tag,カフェ,エビアン東一北店,宮城県仙台市　青葉区一番町4-5-22,,,blue_tag,https://www.instagram.com/cafede_evian/
blue-tag-shop-ac54603fd3,blue-tag,タクシー,エムアール交通株式会社,兵庫県宝塚市清荒神5ー3,,,blue_tag,http://www.mrk.co.jp/?page_id=20
blue-tag-shop-9563f08736,blue-tag,旅行代理店,エムトラベル,石川県金沢市片町二丁目1番1号,,,blue_tag,https://www.google.com/maps/d/viewer?mid=1cuUtTOY_H5F84hIkz0_tNmcSV3GsBpk
blue-tag-shop-87277e9029,blue-tag,美容・理容,オックス・クリエーション桃山,京都府京都市　伏見区御香宮門前町195番地1,,,blue_tag,https://www.oxcreation.com
blue-tag-shop-e2b2bcd605,blue-tag,美容・理容,オックス・クリエーション椥辻,京都府京都市　山科区椥辻　草海道町4-7イーグルコート椥辻3アペックス1F,,,blue_tag,https://www.oxcreation.com
blue-tag-shop-0a3642c820,blue-tag,美容・理容,オックス・クリエーション深草店,京都府京都市伏見区深草　西浦町四丁目32番地,,,blue_tag,https://www.oxcreation.com
blue-tag-shop-b9d23ff73b,blue-tag,食料品,カクキュー八丁味噌（八丁味噌の郷）,愛知県岡崎市八丁町６９番地,,,blue_tag,https://www.kakukyu.jp
blue-tag-shop-6cb3e1c529,blue-tag,居酒屋・バー,カッページ東京,東京都港区三田３-４-１２田村ビル地下一階,,,blue_tag,https://cuppagetokyo.com/
blue-tag-shop-85cd890e5b,blue-tag,カフェ,カフェ ラヴニール,兵庫県神戸市中央区元町高架通3番184号,,,blue_tag,https://www.lavenir-dojima.jp/
blue-tag-shop-614830966c,blue-tag,カフェ,カフェチャオッペ,大阪府大阪市　旭区清水5-12-12,,,blue_tag,https://ciaoppe.buyshop.jp/
blue-tag-shop-ac4586fb80,blue-tag,カフェ,カフェテリアマジカ,大阪府大阪市　西区九条2-7-16,,,blue_tag,https://www.google.com/maps/d/viewer?mid=1cuUtTOY_H5F84hIkz0_tNmcSV3GsBpk
blue-tag-shop-b34ca79588,blue-tag,その他小売り,カメラのマツエ,富山県南砺市寺家新屋敷366,,,blue_tag,https://www.google.com/maps/d/viewer?mid=1cuUtTOY_H5F84hIkz0_tNmcSV3GsBpk
blue-tag-shop-980e081ead,blue-tag,レジャー施設,カラオケ歌居屋　新長田店,兵庫県神戸市　長田区大橋町5-3-1アスタプラザイーストB1,,,blue_tag,https://www.google.com/maps/d/viewer?mid=1cuUtTOY_H5F84hIkz0_tNmcSV3GsBpk
blue-tag-shop-f43411d7b0,blue-tag,食料品,カレントフーズ,大阪府大阪市　北区梅田1-1-3大阪駅前第三ビルB1-52号,,,blue_tag,https://www.google.com/maps/d/viewer?mid=1cuUtTOY_H5F84hIkz0_tNmcSV3GsBpk
blue-tag-shop-287f902ab4,blue-tag,文具,カワブン,福岡県福岡市　博多区博多駅　中央街地下4号5号博多駅地下街,,,blue_tag,https://www.google.com/maps/d/viewer?mid=1cuUtTOY_H5F84hIkz0_tNmcSV3GsBpk
blue-tag-shop-5bc5c68555,blue-tag,燃料小売,カーサービス金沢駅西店,石川県金沢市駅西本町3-2-1,,,blue_tag,https://mytown-carshop.jp/scd29151537/
blue-tag-shop-6cdebd22a1,blue-tag,自動車・バイク用品,カーショップカミタケ,大阪府交野市倉治6丁目3-29,,,blue_tag,https://www.kamitake.cp.jp
